solar_radiation,temperature,electric_price_unit
0.0,29.0,8.0
0.0,29.0,8.0
0.0,29.0,8.0
0.0,29.0,8.0
0.0,29.0,8.0
0.0,29.0,8.0
0.0,29.0,8.0
0.0,29.0,8.0
0.0,29.0,8.0
0.0,29.0,8.0
0.0,28.9,8.0
0.0,28.9,8.0
0.0,28.9,8.0
0.0,28.9,8.0
0.0,28.9,8.0
0.0,28.9,8.0
0.0,28.9,8.0
0.0,28.9,8.0
0.0,28.9,8.0
0.0,28.9,8.0
0.0,28.9,8.0
0.0,28.8,8.0
0.0,28.8,8.0
0.0,28.8,8.0
0.0,28.8,8.0
0.0,28.8,8.0
0.0,28.8,8.0
0.0,28.8,8.0
0.0,28.8,8.0
0.0,28.8,8.0
0.0,28.8,8.0
0.0,28.8,8.0
0.0,28.7,8.0
0.0,28.8,8.0
0.0,28.8,8.0
0.0,28.7,8.0
0.0,28.7,8.0
0.0,28.7,8.0
0.0,28.7,8.0
0.0,28.7,8.0
0.0,28.7,8.0
0.0,28.7,8.0
0.0,28.7,8.0
0.0,28.7,8.0
0.0,28.7,8.0
0.0,28.7,8.0
0.0,28.7,8.0
0.0,28.7,8.0
0.0,28.7,8.0
0.0,28.7,8.0
0.0,28.7,8.0
0.0,28.7,8.0
0.0,28.7,8.0
0.0,28.7,8.0
0.0,28.7,8.0
0.0,28.7,8.0
0.0,28.7,8.0
0.0,28.7,8.0
0.0,28.7,8.0
0.0,28.7,8.0
0.0,28.7,8.0
0.0,28.7,8.0
0.0,28.7,8.0
0.0,28.7,8.0
0.0,28.7,8.0
0.0,28.7,8.0
0.0,28.7,8.0
0.0,28.7,8.0
0.0,28.7,8.0
0.0,28.7,8.0
0.0,28.7,8.0
0.0,28.7,8.0
0.0,28.7,8.0
0.0,28.7,8.0
0.0,28.6,8.0
0.0,28.6,8.0
0.0,28.6,8.0
0.0,28.6,8.0
0.0,28.6,8.0
0.0,28.6,8.0
0.0,28.6,8.0
0.0,28.6,8.0
0.0,28.6,8.0
0.0,28.6,8.0
0.0,28.6,8.0
0.0,28.6,8.0
0.0,28.6,8.0
0.0,28.6,8.0
0.0,28.6,8.0
0.0,28.5,8.0
0.0,28.5,8.0
0.0,28.5,8.0
0.0,28.5,8.0
0.0,28.5,8.0
0.0,28.5,8.0
0.0,28.4,8.0
0.0,28.4,8.0
0.0,28.4,8.0
0.0,28.4,8.0
0.0,28.4,8.0
0.0,28.4,8.0
0.0,28.4,8.0
0.0,28.4,8.0
0.0,28.4,8.0
0.0,28.4,8.0
0.0,28.4,8.0
0.0,28.4,8.0
0.0,28.4,8.0
0.0,28.4,8.0
0.0,28.4,8.0
0.0,28.4,8.0
0.0,28.4,8.0
0.0,28.4,8.0
0.0,28.4,8.0
0.0,28.4,8.0
0.0,28.3,8.0
0.0,28.4,8.0
0.0,28.4,8.0
0.0,28.4,8.0
0.0,28.4,8.0
0.0,28.4,8.0
0.0,28.3,8.0
0.0,28.4,8.0
0.0,28.4,8.0
0.0,28.4,8.0
0.0,28.4,8.0
0.0,28.4,8.0
0.0,28.4,8.0
0.0,28.3,8.0
0.0,28.3,8.0
0.0,28.3,8.0
0.0,28.3,8.0
0.0,28.3,8.0
0.0,28.3,8.0
0.0,28.2,8.0
0.0,28.2,8.0
0.0,28.2,8.0
